Pattern,Reasoning_Clause,Decision
Other/Unspecified,"the uses, dose, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,that of the listed drug product,Approval
Safety Established,sessment ofthe safety and effectiveness of the drug for the claimed indication in relevant pediatric subpopulations unless the requirement is waived o,Approval
Other/Unspecified,it is a petition for a change in dosage form,Approval
Other/Unspecified,"determined that your proposed change in dosage form is subject to prea, but has concluded that investigations are not necessary to demonstrate the sa",Approval
Other/Unspecified,"the uses, doses, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, doses, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Safety Established,evaluated with respect to the regulations requiring manufacturers to assess the safety and effectiveness ofnew drugs and biological products in pedia,Approval
Other/Unspecified,"determined that your proposed change in dosage form is subject to the pediatric rule, but has concluded that investigatians are not necessary to demo",Approval
Other/Unspecified,the specific drug product that you reference is not intended to be marketed to children under the age of 12,Approval
Safety Established,"your proposed change in dosage form is subject to the pediatric rule, but has concluded that investigatians are not necessary to demonstrate the safe",Approval
Other/Unspecified,"the uses, and route of administration of the proposed drug products are the same as that of the listed drug products",Approval
Other/Unspecified,"the uses, dose, and route of administration of the proposed drug products are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,manufacturer’s tradename and the changes approved in this petition,Approval
Other/Unspecified,"the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, and route of administration of the proposed drug product is the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,ed upon the patient’s ptlnr response to the drug and that ce,Approval
FDA Agrees/Warrants Action,manufacturer’s tradename and other appropriate changes,Approval
Other/Unspecified,"the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, dosage form and route of administration of the proposed drug products are the same as that of the listed drug product",Approval
Other/Unspecified,"signed into law on december 2,2003",Approval
Safety Established,sessment of the safety and effectiveness of the drug for the claimed indication in relevant pediatric subpopulations unless the requirement is waived,Approval
Other/Unspecified,it is a petition for a change in dosage form,Approval
Other/Unspecified,"determined that your proposed change in dosage form is subject to prea, but has concluded that investigations ar",Approval
Other/Unspecified,"the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dose, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"of concerns about interpersonal transfer of testim, the product labeling currently contains the following precautions: "" patients should wash their h",Approval
Other/Unspecified,hing show that testim is effectively removed from the skin surface by thorough washing with soap and water,Approval
Other/Unspecified,h the application sites thoroughly with soap and water so as to remove drug residue,Approval
Other/Unspecified,"hed or unclothed skin to which testim has been applied does come in direct contact with the skin of another person, the general area of contact on the",Approval
Other/Unspecified,hed thoroughly with soap and water as soon as possible,Approval
Other/Unspecified,"the uses, dose, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,"the uses, dose, dosage form, and route of administration of the proposed drug product are the same as that ofthe listed drug product",Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,"the uses, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"ons discussed below, your petition is granted in part and denied in part",Approval
Other/Unspecified,"discussed more fully below, two of the impurities that are the subject of your petition are a,ß-unsaturated ketones (also known as ""abuks"")",Approval
Other/Unspecified,t several years addressing abuks in opioid drug substances,Approval
Other/Unspecified,"been working to lower the levels of these potentially genotoxic impurities since 2002, when we first confirmed the presence of an abuk impurity in an",Approval
Other/Unspecified,"compliance became technologically feasible, and correspondingly increasing our expectations of applicants seeking approval of opioid docket no",Approval
Other/Unspecified,"both petitions raise similar issues, we are consolidating our response",Approval
Other/Unspecified,"ons stated below, your petitions are granted",Approval
Other/Unspecified,"the same active ingredient, conditions of use, route(s) of administration, dosage form, i for ease, this response will generally refer to approved dr",Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,"to necessitate significant labeling changes, and invest",Approval
Other/Unspecified,"the uses, dose, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Bioequivalence Demonstrated,determined that there is adequate information to make a full evaluation of therapeutic equivalence,Approval
Bioequivalence Demonstrated,"the same active ingredient(s) in the same strength, (2) has essentially identical labeling, and (3) is bioequivalent",Approval
Bioequivalence Demonstrated,there is adequate information to make a full evaluation of therapeutic equivalence,Approval
Bioequivalence Demonstrated,adequate information to make a full evaluation of therapeutic equivalence,Approval
Other/Unspecified,"the uses, dose, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"both petitions raise similar issues, we are consolidating our response",Approval
Other/Unspecified,"ons stated below, your petitions are granted",Approval
Other/Unspecified,"the same active ingredient, conditions of use, route(s) of administration, dosage form, i for ease, this response will generally refer to approved dr",Approval
Other/Unspecified,"the ims formulation is not currently designated as an rld, an anda cannot be submitted for the ims formulation",Approval
Other/Unspecified,it is not currently designated as an rld,Approval
Other/Unspecified,that cite ims' phytonadione injection as the rld,Approval
Other/Unspecified,"a second rld for phytonadione injection, 1mg/0",Approval
FDA Agrees/Warrants Action,"for phytonadione injection with ims' product as the rld, we wil take appropriate steps to make it clear in the orange book that a generic drug produc",Approval
Other/Unspecified,is of submission for anda 060851,Approval
Safety Established,withdrawn from sale for reasons of safety or effectiveness,Approval
Other/Unspecified,oning for the agency’s determination,Approval
Other/Unspecified,"ons, the agency will initiate proceedings under 21 cfr 314",Approval
Other/Unspecified,that refer to the listed drug,Approval
Other/Unspecified,"of the relevant law and facts, fda determined under 21 cfr 314",Approval
Other/Unspecified,it is not therapeutically equivalent to the currently designated rld and is not itself designated an rld,Approval
Other/Unspecified,an rld for isotretinoin capsule so that andas may be submitted for generic versions of absorica,Approval
Other/Unspecified,that cite absorica as the rld,Approval
Other/Unspecified,a second rld for isotretinoin capsule,Approval
Other/Unspecified,"for isotretinoin capsule with absorica as the rld, we will take appr",Approval
Safety Established,sessment of the safety and effectiveness of the drug for,Approval
Other/Unspecified,this drug product is a single source for a 20mg/m1 strength product with a total drug content of 160 mg,Approval
Sufficient Evidence,"that the petition also requested a waiver from the conduct of pediatric studies required under the pediatric research equity act (prea), section 505a",Approval
Other/Unspecified,"hington harbor 3000 k street, n",Approval
Other/Unspecified,"tic syringes (nda 202832), manufactured by medefil inc",Approval
Other/Unspecified,a reference listed drug (rld),Approval
Other/Unspecified,"rlds, only medefil's product, which is not currently designated as an rld, has unique product presentations of 6 milliliter (ml) and 12 ml plastic",Approval
Other/Unspecified,"ons stated below, your petition is granted",Approval
Other/Unspecified,"tic irrigation container) (sodium chloride, sodium lactate, anhydrous, potassium chloride, calcium chloride), 3 liters (l) manufactured by hospira,",Approval
Bioequivalence Demonstrated,a reference listed drug (rld) in the approved drug products with therapeutic equivalence evaluations (the orange book),Approval
Other/Unspecified,"ons described below, your petition is granted",Approval
Other/Unspecified,"hington, dc 20005-5929 gordon johnston gordon johnston regulatory consultants, llc 3631 martins dairy circle olney, md 20832 food and drug admini",Approval
Other/Unspecified,"sium chloride extended-release tablets, usp), 20 milliequivalents (meq), approved under nda 18279 and marketed by abbvie, as a reference listed drug",Approval
Bioequivalence Demonstrated,a reference listed drug (rld) in the approved drug products with therapeutic equivalence evaluations (the orange book),Approval
Other/Unspecified,"ons described below, your petition is granted",Approval
Other/Unspecified,"an rld because there are no other approved versions of atropine sulfate ophthalmic solution, usp, 1%",Approval
Other/Unspecified,"an rld, an anda referencing this drug product may not be submitted, effectively shielding the drug product from generic competition",Approval
Other/Unspecified,"ons described in this response, the petition is granted",Approval
Other/Unspecified,head of regulatory affairs zydus pharmaceuticals (usa) inc,Approval
Other/Unspecified,": food and drug administration silver spring, md 20993 this letter responds to your citizen petition dated july 8, 2014 (petition)",Approval
Other/Unspecified,"co laboratories (prasco) under new drug application (nda) 050741, is acceptable to use as the reference standard for performing in vivo bioequivalenc",Approval
Other/Unspecified,the rld in the orange book3 is not available in the market place,Approval
Other/Unspecified,"hington, dc 20005-5929 gordon johnston gordon johnston regulatory consultants, llc 3631 martins dairy circle olney, md 20832 food and drug admini",Approval
Other/Unspecified,"sium chloride extended-release tablets, usp), 20 milliequivalents (meq), approved under nda 18279 and marketed by abbvie, as a reference listed drug",Approval
Other/Unspecified,"it relies on an in vitro drug release rate test that has yet to be developed, and because it involves the measurement of 1 a reference listed drug, o",Approval
Other/Unspecified,"the drug product upon which an applicant relies in seeking approval of its abbreviated application"" (21 cfr 314",Approval
Other/Unspecified,"it relies on an in vitro drug release rate test that has yet to be developed, and because it involves the measurement of 1 a reference listed drug, o",Approval
Other/Unspecified,"the drug product upon which an applicant relies in seeking approval of its abbreviated application"" (21 cfr 314",Approval
Other/Unspecified,an rld because doing so will allow sponsors of and as of fluoxetine hydrochloride tablets to pursue approval of 60 mg fluoxetine hydrochloride tablet,Approval
Other/Unspecified,"an rld, an anda referencingthis drug product may not be submitted, effectively shielding the drug product from generic competition",Approval
Other/Unspecified,edgemont's 60 mg fluoxetine hydrochloride tablet product is a single source product,Approval
Other/Unspecified,head of regulatory affairs zydus pharmaceuticals (usa) inc,Approval
Other/Unspecified,: food and drug administration silver spring,Approval
Other/Unspecified,"e capsules, 60 milligrams (mg), marketed by kremers urban pharmaceuticals inc",Approval
Bioequivalence Demonstrated,the reference standard for performing in vivo bioequivalence (be) testing,Approval
Other/Unspecified,"the rld in the orange book, is not available in the marketplace",Approval
Other/Unspecified,"amikin has been moved to the discontinued drug product list section of the orange book, and you are requesting that fda a generic drug product as an",Approval
Other/Unspecified,a request to designate a therapeutically equivalent product as the reference standard for a proposed generic drug product to use in conducting bioequ,Approval
Other/Unspecified,"moved to the discontinued drug product list section of the orange book, the agency designated eurohealth's amikacin sulfate injection as the referenc",Approval
FDA Agrees/Warrants Action,"determined that distribution ofeurohealth's amikacin sulfate injection product is very low, and fda therefore agrees that it is appropriate to design",Approval
Bioequivalence Demonstrated,"t shows: (a) a bioequivalence study using appropriate, validated clinical endpoints conducted in patients with clostridium difficile-associated diarrh",Approval
Insufficient Evidence,ted conditions (c) in vitro dissolution tests (2) if fda detennines that it has insufficient information to establish bioequivalenc,Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,"an rld because it is the only listed drug for potassium chloride for oral solution, usp, 20 meq, in the orange book",Approval
Other/Unspecified,"an rld, an anda referencing this drug product may not be submitted, effectively shielding the drug product from generic competition",Approval
Other/Unspecified,"sium chloride for oral solution, usp, 20 meq, manufactured by pharma, under nda 208019, as an rld",Approval
Other/Unspecified,sium chloride for oral 3 § 3 l 4,Approval
Other/Unspecified,"ons described in this response, the petition is granted",Approval
Bioequivalence Demonstrated,a reference listed drug (rld) in the approved drug products with therapeutic equivalence evaluations (the orange book),Approval
Other/Unspecified,"ons described below, your petition is granted",Approval
Other/Unspecified,"thioplex injection has been moved to the discontinued drug product list section of the orange book, we interpret your request as a request to designa",Approval
Bioequivalence Demonstrated,the reference standard for a proposed generic drug product to use in conducting any bioequivalence studies to support approval,Approval
Other/Unspecified,"designated as the reference standard for thiotepa injection, 15 mg/vial",Approval
Safety Established,sities as therapeutically equivalent those products that meet the following general criteria: ( i) they are approved as safe and effective: (2) they a,Approval
Other/Unspecified,the rld has been moved to 4 id,Approval
Safety Established,sifies as therapeutically equivalent those products that meet the following general criteria: (i) they are approved as safe and effective; (2) they ar,Approval
Other/Unspecified,"there is no nda approved for a 750 mg dose, and you are requesting that fda designate a generic drug product as an rld, we interpret your request as",Approval
Other/Unspecified,a reference standard,Approval
Other/Unspecified,"a reference standard because it is the first approved generic drug product that contains the change in the approved suitability petition, docket no",Approval
Other/Unspecified,a reference standard,Approval
Other/Unspecified,"ons described in this response, the petition is granted",Approval
Other/Unspecified,"no nda approved for a 750 mg dose, and you are requesting that fda designate a generic drug product as an rld, we interpret your request as a request",Approval
Safety Established,"reviewed its records and determined that parafon forte dsc ( chlorzoxazone) tablets, 500 mg, were not withdrawn from sale for reasons of safety or ef",Approval
Other/Unspecified,"ons described below, your petition is granted",Approval
Other/Unspecified,"the same active ingredient(s), dosage form, route of administration, strength, conditions ofuse, and, with certain exceptions, labeling as the listed",Approval
Other/Unspecified,a second rld because it is not listed as therapeutically paragraph (j)(5) was redesignated as paragraph (j)(6) (see section 119(b) of the food and dr,Approval
Other/Unspecified,"a second rld, an anda referencing this drug product may not be submitted, effectively shielding the drug product from generic competition",Approval
Other/Unspecified,"ons described in this response, the petition is granted",Approval
Other/Unspecified,"ed on our records, we have determined that levothroid is not currently commercially available",Approval
Other/Unspecified,moved the drug product to the discontinued drug product list section of the orange book,Approval
Safety Established,reviewed its records and determined that levothroid was not withdrawn from sale for reasons of safety or effectiveness,Approval
Other/Unspecified,"designated the only available generic to levothroid (mylan's levothyroxine product), approved in anda 076187, as the reference standard for anda appl",Approval
Bioequivalence Demonstrated,therapeutically equivalent to three other levothyroxine sodium tablet rlds and has therefore been assigned therapeutic equivalence (te) codes of abl,Approval
Other/Unspecified,"described in the orange book, ""[b]ecause there are multiple [rlds]",Approval
Other/Unspecified,"our records, we have determined that levothroid is not currently commercially available",Approval
Other/Unspecified,levothroid is not currently commercially available,Approval
Other/Unspecified,that mylan's levothyroxine product is identified in the orange book as therapeutically equivalent to three other levothyroxine sodium tablet rlds and,Approval
Safety Established,"an rld because there is no designated rld for the drug product, the safety and effectiveness of the drug have been established through the 505(b) reg",Approval
Other/Unspecified,detennined by fda on the basis of commercial data,Approval
Other/Unspecified,"ons described in this response, the petition is granted",Approval
Safety Established,"no designated rld for the drug product, the safety and effectiveness of the drug have been established through the 505(b) regulatory pathway, and nda",Approval
Safety Established,"an rld because there is no designated rld for the drug product, the safety and effectiveness ofthe drug have been established through the 505(b) regu",Approval
Other/Unspecified,"tic container, held by baxter healthcare under nda 019022, as an rld",Approval
Other/Unspecified,"ons described in this response, the petition is granted",Approval
Safety Established,"no designated rld for the drug product, the safety and effectiveness ofthe drug have been established through the 505(b) regulatory pathway, and this",Approval
Other/Unspecified,"first approved by fda in 1971 as a sterile solution for intravenous, intramuscular, and subcutaneous administration",Approval
Other/Unspecified,"al spray, the first approved nasal spray version of naloxone hydrochloride",Approval
Other/Unspecified,al spray delivers a single dose of naloxone by a single-use nasal spray that does not require assembly,Approval
Other/Unspecified,"al spray is currently approved in two strengths, 2 mg/spray and 4 mg/spray",Approval
Other/Unspecified,"al spray is indicated for the emergency treatment of known or suspected opioid overdose, as manifested by respiratory and/or central nervous system de",Approval
Other/Unspecified,emergency therapy in settings where opioids may be present,Approval
Other/Unspecified,"tic container, held by hospira under new drug application (nda) 018090, as a reference listed drug (rld) in the approved drug products with therapeu",Approval
Other/Unspecified,"ons described below, your petition is granted",Approval
Other/Unspecified,"an additional rld because evomela carries an additional approved indication for ""use as a high-dose conditioning treatment prior to hematopoietic pro",Approval
Other/Unspecified,"an additional rld, the drug will effectively be shielded from generic competition",Approval
Other/Unspecified,"e/vial, as an additional rld",Approval
Other/Unspecified,"a sterile, nonpyrogenic, freeze-dried powder",Approval
Other/Unspecified,"tic container, approved under abbreviated new drug application (anda) 090343 held by acs dobfar, as a ""reference listed drug"" (rld) in the approved",Approval
Other/Unspecified,"ons described below, your petition is granted",Approval
Other/Unspecified,"the rld has been discontinued, and you are requesting that fda designate a generic drug product as an rld, we interpret your request as a request for",Approval
Bioequivalence Demonstrated,a reference standard for a proposed generic drug product to use in conducting in vivo bioequivalence studies to support approval,Approval
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions sp",Approval
Other/Unspecified,"tic container, held by hospira inc",Approval
Bioequivalence Demonstrated,a reference listed drug (rld) in the approved drug products with therapeutic equivalence evaluations (the orange book),Approval
Other/Unspecified,"ons described below, your petition is granted",Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,an applicant uses an alternative approach to assess adhesion or evaluate irritation and sensitization potential,Approval
Bioequivalence Demonstrated,"with all of our product-specific bioequivalence guidances, the recommendations in the draft buprenorphine er film guidance are not binding on fda or",Approval
Other/Unspecified,sess adhesion or to evaluate irritation and sensitization potential if the approach satisfies the requirements of the applicable statutes and regulati,Approval
Bioequivalence Demonstrated,"and andas referencing butrans in the petition, you state that fda should require the use of partial auc measures to evaluate the bioequivalence of an",Approval
Other/Unspecified,"its listed drug relied upon or anda referencing butrans as its reference listed drug (rld)4 (petition at 1-2, 5-7; supplement at 2-3)",Approval
Other/Unspecified,"ed solely on the auc, calculated to the last measured concentrati",Approval
Other/Unspecified,"the rld because, due to ""market unavailability"" of pennsaid, ""evaluation/comparison of a macleods generic drug could not be executed"" (petition at 3)",Approval
Other/Unspecified,"a preliminary matter, we note that an rld generally is a drug product approved under section 505( c) of the fd&c act based on full reports of investi",Approval
Other/Unspecified,is for submission of an anda for diclofenac sodium topical solution 1,Approval
Other/Unspecified,"been withdrawn from sale, that product has been moved to the discontinued drug product list section of the orange book",Approval
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when admini",Approval
Safety Established,full reports of investigations of safety and effectiveness,Approval
Safety Established,that an rld generally is a drug product approved under section 505( c) of the fd&c act based on full reports of investigations of safety and effectiv,Approval
Safety Established,not withdrawn for safety or effectiveness reasons,Approval
Other/Unspecified,the basis of submission and request a waiver of the requirement in 21 cfr 314,Approval
Other/Unspecified,"approved originally for the following indications: ( 1) emergency treatment of allergic reactions (type 1 ), including anaphylaxis, and (2) induction",Approval
Other/Unspecified,is during intraocular surgery,Approval
Safety Established,the original formulation was not withdrawn for safety or effectiveness reasons,Approval
Other/Unspecified,"ed on our review of this information and for the reasons described below, the petition is granted insofar as an anda that relies on provayblue as the",Approval
Other/Unspecified,"a reference to the concentration of 5 milligrams (mg)/milliliter (ml), as reflected in the fda approved labeling for nda 204630",Approval
Other/Unspecified,"our review of this information and for the reasons described below, the petition is granted insofar as an anda that relies on provayblue as the refer",Approval
Procedural Issue,"that fda regulations in 21 cfr part 314, applications for fda approval to market a new drug, use “active ingredient” and “drug substance” but not “ap",Approval
Safety Established,not withdrawn for safety or effectiveness reasons,Approval
Other/Unspecified,the basis of submission and request a waiver of the requirement in 21 cfr 314,Approval
Other/Unspecified,"approved originally for the following indications: ( 1) emergency treatment of allergic reactions (type 1 ), including anaphylaxis, and (2) induction",Approval
Other/Unspecified,is during intraocular surgery,Approval
Safety Established,the original formulation was not withdrawn for safety or effectiveness reasons,Approval
FDA Agrees/Warrants Action,"follows: the commissioner may grant or deny a petition, in whole or in part; and may grant such other relief or take such other action as is warrante",Approval
Other/Unspecified,e is not frivolous and is being pursued in good faith,Approval
Sufficient Evidence,"demonstrated sound public policy grounds supporting 7 see amendment letter from pmrs to fda dated august 25, 2016, available at https://www",Approval
Other/Unspecified,a reference standard,Approval
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions sp",Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,a reference standard,Approval
Other/Unspecified,"ed on our review, we have determined that bactroban calcium cream, eq 2% base (nda 050746) has been discontinued, and we are moving nda 050746 to the",Approval
Other/Unspecified,"you requested, we have selected glenmark's mupirocin calcium cream, eq 2% base (anda 201587) as the reference standard because this drug is the marke",Approval
Other/Unspecified,detennined by fda on the basis of commercial data,Approval
Other/Unspecified,"ons described in this response, the petitions are granted",Approval
Safety Established,not withdrawn from sale for safety or effectiveness,Approval
Other/Unspecified,"our review, we have determined that bactroban calcium cream, eq 2% base (nda 050746) has been discontinued, and we are moving nda 050746 to the disco",Approval
Other/Unspecified,"bactroban calcium cream, eq 2% base (nda 050746) has been discontinued, and we are moving nda 050746 to the discontinued section (discontinued drug p",Approval
Bioequivalence Demonstrated,that fda will not approve any anda that uses the reference standard to demonstrate bioequivalence until fda determines that the rld was not withdrawn,Approval
Other/Unspecified,a reference standard,Approval
Other/Unspecified,"ed on our review, we have determined that bactroban calcium cream, eq 2% base (nda 050746) has been discontinued, and we are moving nda 050746 to the",Approval
Other/Unspecified,"you requested, we have selected glenmark's mupirocin calcium cream, eq 2% base (anda 201587) as the reference standard because this drug is the marke",Approval
Other/Unspecified,detennined by fda on the basis of commercial data,Approval
Other/Unspecified,"ons described in this response, the petitions are granted",Approval
Safety Established,not withdrawn from sale for safety or effectiveness,Approval
Other/Unspecified,"our review, we have determined that bactroban calcium cream, eq 2% base (nda 050746) has been discontinued, and we are moving nda 050746 to the disco",Approval
Other/Unspecified,"bactroban calcium cream, eq 2% base (nda 050746) has been discontinued, and we are moving nda 050746 to the discontinued section (discontinued drug p",Approval
Bioequivalence Demonstrated,that fda will not approve any anda that uses the reference standard to demonstrate bioequivalence until fda determines that the rld was not withdrawn,Approval
Other/Unspecified,of the type or quantity of inactive ingredients included or the manner in which the inactive ingredients are included,Approval
Procedural Issue,issued implementing regulations on inactive ingredients in products proposed in andas,Approval
Safety Established,long as the anda demonstrates that the different inactive ingredients do not affect the safety or efficacy of the proposed drug product (21 cfr 314,Approval
Other/Unspecified,"for parenteral drug products, the only differences in excipients that are routinely permitted are changes in preservatives, buffers, and antioxidants",Approval
Other/Unspecified,the drug product upon which an applicant relies in seeking approval of its and a'' (2 1 cfr 314,Approval
Other/Unspecified,of the type or quantity of inactive ingredients included or the manner in which the active ingredients are included,Approval
Procedural Issue,issued implementing regulations on inactive ingredients in products proposed in andas,Approval
Safety Established,long as the anda demonstrates that the different inactive ingredients do not affect the safety or efficacy of the proposed drug product (21 cfr 314,Approval
Other/Unspecified,"for parenteral drug products, the only differences in inactive ingredients that are generally permitted are changes in preservatives, buffers, or ant",Approval
Other/Unspecified,the reference listed drug identified by the applicant,Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,e using a discriminating rate of release dissolution method capable of reliably detecting manufacturing differences over the characteristic release pr,Approval
Other/Unspecified,sesses (a) the initial burst of plasma estradiol levels following insertion of the first ring with low levels of estradiol over the remainder of first,Approval
Other/Unspecified,e in estradiol systemic exposure that occurs following insertion of the second ring 3,Approval
Other/Unspecified,the rld - optivar (azelastine hydrochloride) ophthalmic solution 0,Approval
Other/Unspecified,been discontinued from marketing,Approval
Other/Unspecified,"tine hydrochloride ophthalmic solution, 0",Approval
Other/Unspecified,"a reference standard, rather than the anda identified in your petition",Approval
Other/Unspecified,the reference standard because this drug is the market leader as determined by fda on the basis of commercial data,Approval
Other/Unspecified,"tine hydrochloride ophthalmic solution, 0",Approval
Other/Unspecified,the reference standard,Approval
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions sp",Approval
Other/Unspecified,that of the listed drug product,Approval
Bioequivalence Demonstrated,been so limited that it would be difficult for yiling to obtain a sufficient quantity of this drug product for in vivo bioequivalence testing,Approval
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions sp",Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,an rs because it is therapeutically equivalent to the discontinued rld and is the current market leader based on units sold,Approval
Other/Unspecified,"ons described in this response, the petition is granted, and fda will identify anda 040644 for cyproheptadine hydrochloride tablets, usp 4 mg, held by",Approval
Other/Unspecified,a reference standard,Approval
Other/Unspecified,"ed on our review, we have determined that bactroban calcium cream, eq 2% base (nda 050746) has been discontinued, and we are moving nda 050746 to the",Approval
Other/Unspecified,"you requested, we have selected glenmark's mupirocin calcium cream, eq 2% base (anda 201587) as the reference standard because this drug is the marke",Approval
Other/Unspecified,detennined by fda on the basis of commercial data,Approval
Other/Unspecified,"ons described in this response, the petitions are granted",Approval
Safety Established,not withdrawn from sale for safety or effectiveness,Approval
Other/Unspecified,"our review, we have determined that bactroban calcium cream, eq 2% base (nda 050746) has been discontinued, and we are moving nda 050746 to the disco",Approval
Other/Unspecified,"bactroban calcium cream, eq 2% base (nda 050746) has been discontinued, and we are moving nda 050746 to the discontinued section (discontinued drug p",Approval
Bioequivalence Demonstrated,that fda will not approve any anda that uses the reference standard to demonstrate bioequivalence until fda determines that the rld was not withdrawn,Approval
Other/Unspecified,", according to your petition, the current reference standard product, lamisil (terbinafine hydrochloride) tablets, 250 mg, approved under nda 020539 h",Approval
