Document_ID,Decision,LLM_Category,LLM_Confidence,LLM_Justification,Key_Phrases,Rationale_Text_Preview
FDA-2007-P-0110-0004,Denied,Other Denial Reason,low,No clear match to defined categories,,"s for managing diabetes"" (Petition at l). We have reviewed your petition, and for the reasons described below, your petition is denied. 1 I. BACKGROUND A. Approved Thiazolidinedione Products In 1999, FDA approved rosiglitazone maleate (Avandia, new drug application (NDA) 21­ 07]) and pioglitazone hy"
FDA-2007-P-0113-0028,Denied,Other Denial Reason,low,No clear match to defined categories,,"ighs the benefits of a single system, taking into consideration the impact on health care providers, patients, the applicant for the abbreviated new drug application, and the holder of the reference drug product"" (section 505-l(i)(1 )(B)(i) ofthe FD&C Act). 10 If a waiver of the single, 7 A listed d"
FDA-2007-P-0245-0005,Denied,Procedural - Already Addressed/Moot,high,Issue already addressed or rendered moot,"moot, already","on was moot. As explained in the letter, FDA had reviewed the OxyContin labeling supplements and issued letters stating that each of the three supplements was not approvable. Because the labeling supplements were not approvable, the labeling for a generic version of OxyContin was not required to inc"
FDA-2000-P-0918-0001,Denied,Procedural - Administrative Deficiency,high,Administrative or procedural grounds cited,"procedural, 21 cfr 10","(CFR), section 10.30(e)(3)(21 CFR 10.30(e)(3)), we are denying the petitions. A regulatory limit is established by informal (notice-and-comment) rulemaking and has the force of law. Once a regulatory limit has been established, a food is adulterated under section 402(a)(l) ofthe Federal Food, Drug &"
FDA-2003-P-0117-0001,Denied,Procedural - Already Addressed/Moot,high,Issue already addressed or rendered moot,"moot, already","ment, as recounted above, are moot. Accordingly, because we need not make these determinations to resolve your Petition, the requests in the Petition and at (1) and (2) of the Supplement, above, are denied. We acknowledge that this response does not address the substance of the question essentially "
FDA-2009-P-0039-0008,Denied,Other Denial Reason,low,No clear match to defined categories,,"ved the drug with restrictions to assure safe use because the Agency concluded that the drug can be safely used only if distribution or use is restricted (e.g., under 21 U.S.C. § 355-1(f)(3)). There may be other situations in which a boxed warning may be appropriate to highlight infonnation that is "
FDA-2011-P-0347-0007,Denied,Other Denial Reason,low,No clear match to defined categories,,"mith: This is in response to your petition for reconsideration and stay of action received on March 7, 2013 (Reconsideration Petition). The Reconsideration Petition requests that the U.S. Food and Drug Administration (FDA or Agency) reconsider its January 28, 2013 response (Original Petition Respons"
FDA-2011-P-0515-0004,Denied,Procedural - Already Addressed/Moot,high,Issue already addressed or rendered moot,"moot, already","state that PSE should be removed from the market because it is frequently diverted to the ilegal manufacture of methamphetamine. You state that ""meth-related activity"" is on the rise nationally, and that existing measures to combat the diversion ofPSE to manufacture methamphetamine have been inadequ"
FDA-2011-P-0852-0004,Denied,Other Denial Reason,low,No clear match to defined categories,,"d health programs. The task force concluded that because computer processing of claims must be an integral part of such programs, there was an urgent need for a standardized drug product identification or coding system that could be used in computerized systems. The task force also found that a stan"
FDA-2011-P-0641-0007,Denied,Other Denial Reason,low,No clear match to defined categories,,"a premarket approval application (PMA). FDA has reviewed your petition and, as we discuss below, we share some of the concerns outlined there. However, the agency does not believe that a ban or recall of non-absorbable surgical mesh for transvaginal repair of POP is warranted at this time. Further, "
FDA-2011-P-0022-0008,Denied,Other Denial Reason,low,No clear match to defined categories,,lso offer your own analyses of the data. FDA has reviewed the information in your petition and is denying your petition for the reasons discussed below. I. Standard for PMA Withdrawal Has Not Been Met and a Public Health Advisory with a Voluntary Recall Is Not Warranted Section 515(e)(l) of the Fede
FDA-2012-P-0298-0012,Denied,Procedural - Already Addressed/Moot,high,Issue already addressed or rendered moot,"moot, already","., for Lorcaserin 10 mg BID and 10 mg QD. The FDA reviewed the NDA for Lorcaserin according to its established procedures and approved the application on June 27, 2012, pursuant to section 505(c) of the Food, Drug, and Cosmetic Act (21 U.S.C. 355(c)). Since the Lorcaserin NDA has now been approved, "
FDA-2014-P-1773-0005,Denied,Other Denial Reason,low,No clear match to defined categories,,"on, phthalates raise a number of safety concerns because they function as endocrine disrupters that ""limit or block the 1 The PPSI Petition also requested that FDA issue a regulation to eliminate the use of phthalates in ""herbal dietary supplement products."" The Agency issued a response denying that"
FDA-2014-P-1685-0004,Denied,Other Denial Reason,low,No clear match to defined categories,,"at 1-2. 3 Id. 4 I d. at 2. As set forth below, consideration of costs or potential effects on the implementation of the Affordable Care Act (Public Law I I 1-148) is not among the relevant statutory and regulatory obligations governing the prescription or nonprescription status of oral contraceptive"
FDA-2014-P-0144-0003,Denied,Other Denial Reason,low,No clear match to defined categories,,"abolite. For some of these drug products, FDA can review data from PD effect studies to assess bioequivalence.8 For others, however, no PD endpoints can be readily measured. In these 7 21 CFR 320.24. Whereas a PK study measures the rate and the extent to which the drug is delivered to biological flu"
FDA-2015-P-0059-0013,Denied,Procedural - Administrative Deficiency,high,Administrative or procedural grounds cited,"procedural, 21 cfr 10","trated caffeine marketed as a dietary supplement because it presents a ""significant or unreasonable risk of illness or injury"" or an ""imminent hazard to public health;"" or • Specify limits on the form in which caffeine is sold, including its labeling, serving sizes, and potency, to minimize the risk"
FDA-2015-P-3020-0009,Denied,Procedural - Administrative Deficiency,high,Administrative or procedural grounds cited,"procedural, 21 cfr 10","-4), and consumer complaints from online product reviews of five different feminine wash products (Petition at pages 5-9). In accordance with 21 CFR 10.30(eX3), and for the reasons stated below, we are denying your petition. As background, cosmetic products and ingredients (except color additives) a"
FDA-2015-P-1924-0007,Denied,Other Denial Reason,low,No clear match to defined categories,,"tion, you requested that “[u]pon the receipt and review of any premarket notification submitted under section 510(k) of the Act for the Zeltiq CoolSculpting System or a similar Zeltiq device for treatment of the submentum,” FDA “issue an order declaring the device to be not substantially equivalent "
FDA-2016-P-2955-0088,Denied,Other Denial Reason,low,No clear match to defined categories,,"exist. We appreciate your concern. However, after careful review and consideration, we deny the Petition for the reasons set forth below. Page 2 – Nicholas Isel DISCUSSION I. BACKGROUND FDA is an agency within the Department of Health and Human Services (HHS) and, by delegation from the Surgeon Gene"
FDA-2016-P-2955-0339,Denied,Procedural - Administrative Deficiency,high,Administrative or procedural grounds cited,"procedural, 21 cfr 10","14 mrozovics@rozovicslaw.com RE: Request for Review under 21 CFR 10.75 Ms. Rozovics: The purpose of this letter is to notify you that I am denying your request for review under 21 CFR 10.75, which you submitted on behalf of Nicholas Isel. Your request seeks review of a decision made by Lowell Schill"
FDA-2016-P-1249-0004,Denied,Procedural - Administrative Deficiency,high,Administrative or procedural grounds cited,"procedural, 21 cfr 10","21 CFR 10.30 generally govern the submission and review of citizen petitions. Under § 10.30(k), citizen petitions may not be used for ""the referral of a matter to a United States attorney for the initiation of court enforcement action and related correspondence."" The Petition asserts that its ""reque"
FDA-2016-P-4591-0003,Denied,Other Denial Reason,low,No clear match to defined categories,,"List"" (Discontinued Section) of the Orange Book. The Agency determined that Decadron was not withdrawn from sale for reasons of safety and efficacy; that determination was published in the Federal Register on May 23, 2007.4 In addition, FDA updated the Orange Book to designate Dexamethasone Tablets,"
FDA-2016-P-2738-0004,Denied,Other Denial Reason,low,No clear match to defined categories,,"nited States after the beginning of the OTC drug review in 1 972 or (ii) conditions without any U.S. marketing experience. 7 A condition includes an active ingredient or botanical drug substance (or combination ofboth), dosage form, dosage strength, and route of administration, marketed for a specif"
FDA-2016-P-3509-0003,Denied,Other Denial Reason,low,No clear match to defined categories,,"nited States after the beginning of the OTC drug review in 1972 or (ii) conditions without any U.S. marketing experience.7 A condition includes an active ingredient or botanical drug substance (or combination of both), dosage form, dosage strength, and route of administration, marketed for a specifi"
FDA-2017-P-4939-0006,Denied,Other Denial Reason,low,No clear match to defined categories,,"retrospectively. Additionally, for retrospective review, you request FDA “develop a set of standardized performance tests” that manufacturers would be required to conduct, publicize, and revise labeling accordingly. 1. Performance Tests Your petitions all focus on tests relating to surgical applicat"
FDA-2017-P-5787-0242,Denied,Other Denial Reason,low,No clear match to defined categories,,"nd other relevant data available to the Agency. Based on our review of these materials and for the reasons described below, the Petition is denied in part and granted in part. I. FINASTERIDE (PROPECIA AND PROSCAR) )LQDVWHULGHLVDĮ-reductase inhibitor that reduces the conversion of testosterone to"
FDA-2017-P-0052-0203,Denied,Other Denial Reason,low,No clear match to defined categories,,"rsight of the gamete donation industry. However, after careful review and consideration, we deny the Petition for the reasons set forth below. DISCUSSION I. BACKGROUND FDA is an agency within the Department of Health and Human Services (HHS) and, by delegation from the Surgeon General and the Secret"
FDA-2017-P-5954-0006,Denied,Other Denial Reason,low,No clear match to defined categories,,"mpax, is suitable to use as a reference standard because the currently listed RLD is unavailable in the marketplace and ANDA 076-856 relies on Dantrium (NDA 017-443) as its RLD.1I Specifically, you state that ANDA 076-856 ""is the only currently available 100 mg [d]antrolene [s]odium product [in the "
FDA-2017-P-4372-0004,Denied,Procedural - Already Addressed/Moot,high,Issue already addressed or rendered moot,"moot, already","(e)(3) and (k), and for the reasons stated below, we are denying your petition for two reasons. First, to the extent you are requesting that FDA take enforcement action against specific cosmetic products (i.e., Hair Pearl and other hair 'tinting' products emanating"" from Hair Pearl and its origin co"
FDA-2018-P-3896-0006,Denied,Other Denial Reason,low,No clear match to defined categories,,"retrospectively. Additionally, for retrospective review, you request FDA “develop a set of standardized performance tests” that manufacturers would be required to conduct, publicize, and revise labeling accordingly. 1. Performance Tests Your petitions all focus on tests relating to surgical applicat"
FDA-2018-P-0564-0007,Denied,Other Denial Reason,low,No clear match to defined categories,,"e reasons stated in Section II of this response, we are denying your petition. I. Background Your petition states that you chose to use “egg” in the name of your breakfast sandwiches because you use a whole, shell egg to craft them, but you found that some foodservice and retail competitors use the "
FDA-2018-P-3951-0005,Denied,Other Denial Reason,low,No clear match to defined categories,,"retrospectively. Additionally, for retrospective review, you request FDA “develop a set of standardized performance tests” that manufacturers would be required to conduct, publicize, and revise labeling accordingly. 1. Performance Tests Your petitions all focus on tests relating to surgical applicat"
FDA-2019-P-1818-0008,Denied,Other Denial Reason,low,No clear match to defined categories,,"n addition, in January 2017, following a clinical review by FDA, the Agency agreed with Amgen’s proposal to add information concerning post-discontinuation vertebral fractures to the Prolia labeling, including a warning and precaution because of the potential for serious, irreversible disability, an"
FDA-2019-P-4670-0008,Denied,Procedural - Administrative Deficiency,high,Administrative or procedural grounds cited,"procedural, 21 cfr 10","page 1. In accordance with 21 CFR 10.30(e)(3), we are denying your petition for the reasons stated below. I. FDA’s Actions Regarding Dietary Fiber In the Federal Register of May 27, 2016, we published a final rule entitled, “Food Labeling: Revision of the Nutrition and Supplement Facts Labels” (81 F"
FDA-2019-P-6045-0021,Denied,Procedural - Administrative Deficiency,high,Administrative or procedural grounds cited,"procedural, 21 cfr 10","10.30.1 In accordance with 21 CFR 10.30(e)(3), we are denying your petition. This letter sets out the basis for our determination that the strength of the scientific evidence does not show that the consumption of alpha-cyclodextrin has a physiological effect that is beneficial to human health. 1 For"
FDA-2019-P-4003-0010,Denied,Other Denial Reason,low,No clear match to defined categories,,"ufacturing, processing, or developing a drug.” Because you are a requestor, as defined in section 505G(q)(3) of the FD&C Act and your Petition requests a type of relief that could be sought under an OMOR (see 505G(b)(5) of the FD&C Act), the citizen petition process is no longer the appropriate proc"
